id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,host,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
7925048,NY,NY,,PreservedSpecimen,1eb3992a-7bf2-402e-9ead-9b50c6b35d14,3407545,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/13/1973,1973,5,13,13,13,13-May-73,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Kings Co.,Brooklyn,Prospect Park,,0,,40.661906,-73.968679,WGS84,1214,,,GEOLocate Web Application,GEOLocate (Tulane University Museum of Natural History),,,,,,,,,,en,,2/9/2021 9:32,1eb3992a-7bf2-402e-9ead-9b50c6b35d14,3,urn:uuid:3caf2394-ebc9-46f1-8e1f-0e8f059ee796,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7925048
7573301,NY,NY,,PreservedSpecimen,242cecc9-5e7b-43b0-b087-5ff6e5e61e1f,3407559,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/4/1974,1974,4,4,94,94,4-Apr-74,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"near parking lot, Botanical Garden Railroad Station, Penn-Central Harlem Division, opposite entrance to The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,242cecc9-5e7b-43b0-b087-5ff6e5e61e1f,3,urn:uuid:be2724b1-cd38-4ada-aa40-4ba769e89805,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7573301
7745430,NY,NY,,PreservedSpecimen,31bcdec5-974b-43d7-bea1-b6aa2d043b78,3407556,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/14/1974,1974,4,14,10,10,14-Apr-74,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,northeast section of The New York Botanical Garden,,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,31bcdec5-974b-43d7-bea1-b6aa2d043b78,3,urn:uuid:700c994c-3de6-4fd3-bb35-c7f1c7f7469a,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745430
7745431,NY,NY,,PreservedSpecimen,d8cbddd6-8a36-4b04-ae30-9933d0d9dd81,3407555,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/21/1974,1974,4,21,11,11,21-Apr-74,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"along Bronx River, Bronx Park north of The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,d8cbddd6-8a36-4b04-ae30-9933d0d9dd81,3,urn:uuid:da9ee836-a498-4fd7-9ab4-9fe4eda64996,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745431
7575401,NY,NY,,PreservedSpecimen,c5cbc5ea-b76a-4020-a679-74e44a278b88,3407557,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/13/1975,1975,4,13,10,10,13-Apr-75,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"The New York Botanical Garden, east side of Bronx River, north of dam",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,c5cbc5ea-b76a-4020-a679-74e44a278b88,3,urn:uuid:d8ab8e14-5681-49d0-bfc1-beeb81dc3802,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7575401
7575402,NY,NY,,PreservedSpecimen,b964726d-1b6b-4813-8e59-83a09574da94,3407558,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/13/1975,1975,4,13,10,10,13-Apr-75,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"The New York Botanical Garden, northeast corner",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,b964726d-1b6b-4813-8e59-83a09574da94,3,urn:uuid:dcbf59be-2e96-4e98-91f9-91343d8c0f30,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7575402
7745447,NY,NY,,PreservedSpecimen,ec796714-33c7-444c-b6b5-11af634f2dfd,3407554,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/18/1975,1975,5,18,13,13,18-May-75,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,Woodlawn section of Van Cortlandt Park,,0,,40.892523,-73.874699,WGS84,1512,,,"Georeferencing Quick Reference Guide, Version 2012",Google Maps (map data 2019); Manis Georef. Calculator,,,,,,,,,,en,,2/9/2021 9:32,ec796714-33c7-444c-b6b5-11af634f2dfd,3,urn:uuid:87d9a191-221c-45db-8433-927e921204b6,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745447
7745464,NY,NY,,PreservedSpecimen,9d5f8f38-cdb9-4549-96e0-146d572ee8dc,3407562,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/4/1976,1976,4,4,95,95,4-Apr-76,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"east of Magnolia plantings, The New York Botanical Garden",,0,,40.864891,-73.873698,WGS84,118,,,"Georeferencing Quick Reference Guide, Version 2012",Google Maps (map data 2019); Manis Georef. Calculator,,,,,,,,,,en,,2/9/2021 9:32,9d5f8f38-cdb9-4549-96e0-146d572ee8dc,3,urn:uuid:491d8ecd-20ae-4ffd-b0eb-52da4588abc8,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745464
7745465,NY,NY,,PreservedSpecimen,a01a06ae-bb11-4492-b922-1dc4501e8d24,3407563,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/4/1976,1976,4,4,95,95,4-Apr-76,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,northeast section of The New York Botanical Garden,,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,a01a06ae-bb11-4492-b922-1dc4501e8d24,3,urn:uuid:306ca018-35ed-44f5-b7f9-8b56d42b52e0,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745465
7745466,NY,NY,,PreservedSpecimen,1dd8abb2-9c3c-4fe0-adaa-4f0694f305d2,3407564,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/11/1976,1976,4,11,10,10,11-Apr-76,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"north of Penn-Central Botanical Garden parking lot, south of Moshulu Parkway",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,1dd8abb2-9c3c-4fe0-adaa-4f0694f305d2,3,urn:uuid:569f2324-2441-40a7-92c0-532ccaacde20,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745466
7902214,NY,NY,,PreservedSpecimen,1c34bf4e-0723-43e4-9b52-481fc3e47e1f,3407565,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/2/1976,1976,5,2,12,12,2-May-76,,,,,,,,,,,,,,,,,,,packeted,United States of America,Pennsylvania,Chester Co.,Kennett Square,Longwood Gardens,,0,,,,,,,,"Georeferencing Quick Reference Guide, Version 2012",,,,,,,,,,,en,,2/9/2021 9:32,1c34bf4e-0723-43e4-9b52-481fc3e47e1f,3,urn:uuid:cce34a9b-3477-4e9d-b1d9-c543f6eaac89,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7902214
7745467,NY,NY,,PreservedSpecimen,44a25818-beb3-4eab-a61f-8840a74aea4f,3407560,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/15/1976,1976,5,15,13,13,15-May-76,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"west side of Bronx River, Bronx Park, north of The New York Botanical Garden",,0,,40.864979,-73.878578,WGS84,457,,,"Georeferencing Quick Reference Guide, Version 2012",Google Maps (map data 2019); Manis Georef. Calculator,,,,,,,,,,en,,2/9/2021 9:32,44a25818-beb3-4eab-a61f-8840a74aea4f,3,urn:uuid:b4c6aebf-7282-4def-addd-14438fa074bf,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745467
7923988,NY,NY,,PreservedSpecimen,64be0483-9d9f-4f60-a088-76ae4af40646,3407541,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/16/1977,1977,4,16,10,10,16-Apr-77,,,,,,,,,,,,,,,,,,,packeted,United States of America,Maryland,Harford Co.,,"Susquehanna State Park, junction of Deer Creek with Susquehanna River, below Conowingo Dam",,0,,39.613119,-76.148931,,153,,,GEOLocate Web Application,GEOLocate Batch Processing Tool,,,,,,,,,,en,,2/9/2021 9:32,64be0483-9d9f-4f60-a088-76ae4af40646,3,urn:uuid:2781e38d-f3f6-47c8-aaba-e09125e0f77f,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7923988
7745504,NY,NY,,PreservedSpecimen,f1370c12-88ad-4009-9471-a606c1ba5842,3407542,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/23/1978,1978,4,23,11,11,23-Apr-78,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"Southwestern corner of Western Twin Lakes, New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,f1370c12-88ad-4009-9471-a606c1ba5842,3,urn:uuid:47159abf-bc5a-44c7-94dc-07cd5ee4fd5e,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745504
7579362,NY,NY,,PreservedSpecimen,7b05284e-b264-415e-bb10-039ca2977e83,3407543,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/13/1983,1983,5,13,13,13,13-May-83,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"slope east of Bronx River, south of north bridge, The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,7b05284e-b264-415e-bb10-039ca2977e83,3,urn:uuid:ab1b3027-ddc9-4700-b25a-c52afd76580a,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7579362
1044626,BPI,,,PreservedSpecimen,,BPI 194693,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,Rogerson Clark T.,,,,,,,C. T. Rogerson; G. J. Samuels; K. P. Dumont,,,,5/22/1971,1971,5,22,142,,1971 MAY 22,,,leaves,Ornithogalum umbellatum,,,,,,,,,,Rust life stage 0 iii,,,,,Includes slide,United States,New York,,,"Van Cortlandt Park, Bronx Co. Woods Opposite Woodlawn Cemetery Entrance in, North of Golf Course",,0,,,,,,,,,,,,,,,,,,,,preprocessed,9/3/2019 13:34,BPI 194693,24,urn:uuid:3f25ae35-c094-47d9-b5f4-0b98684c79d4,https://mycoportal.org:443/portal/collections/individual/index.php?occid=1044626
1044627,BPI,,,PreservedSpecimen,,BPI 194694,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,Rogerson Clark T.,,,,,,,D. G. Huttleston,,,,5/8/1972,1972,5,8,129,,1972 MAY 08,,,leaves,Ornithogalum umbellatum,,,,,,,,,,Rust life stage iii,,,,,Includes slide,United States,Pennsylvania,,,"Kennett Square, Chester Co. Longwood Gardens",,0,,,,,,,,,,,,,,,,,,,,preprocessed,9/3/2019 13:34,BPI 194694,24,urn:uuid:86cd8e1c-9ed5-487c-8e3b-5ac90d49f2e7,https://mycoportal.org:443/portal/collections/individual/index.php?occid=1044627
7902167,NY,NY,,PreservedSpecimen,a152fbed-bd9f-4c19-8fd3-3aba3d02a171,3407568,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,D. G. Huttleston,,,s.n.,5/8/1972,1972,5,8,12,12,8-May-72,,,,,,,,,,,,,,,,,,,packeted,United States of America,Pennsylvania,Chester Co.,,"Longwood Gardens, Kennett Square",,0,,,,,,,,"Georeferencing Quick Reference Guide, Version 2012",,,,,,,,,,,en,,2/9/2021 9:32,a152fbed-bd9f-4c19-8fd3-3aba3d02a171,3,urn:uuid:c4dbfed2-812d-413b-9756-0b5ccd437c07,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7902167
7902168,NY,NY,,PreservedSpecimen,b002dc0a-be72-4b30-a7f9-0a28cdb0ec47,3407567,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,D. G. Huttleston,,,s.n.,4/29/1974,1974,4,29,11,11,29-Apr-74,,,,,,,,,,,,,,,,,,,packeted,United States of America,Pennsylvania,Chester Co.,,"Longwood Gardens, Kennett Square",,0,,,,,,,,"Georeferencing Quick Reference Guide, Version 2012",,,,,,,,,,,en,,2/9/2021 9:32,b002dc0a-be72-4b30-a7f9-0a28cdb0ec47,3,urn:uuid:c9b8e79b-a2c6-4319-8443-7d9ee72dee7c,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7902168
7902150,NY,NY,,PreservedSpecimen,d3115c46-8341-4f25-936b-359c75311e22,3407566,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,D. G. Huttleston,,,s.n.,5/2/1975,1975,5,2,12,12,2-May-75,,,,,,,,,,,,,,,,,,,packeted,United States of America,Pennsylvania,Chester Co.,,"Longwodd Gardens, Kennett Square",,0,,,,,,,,"Georeferencing Quick Reference Guide, Version 2012",,,,,,,,,,,en,,2/9/2021 9:32,d3115c46-8341-4f25-936b-359c75311e22,3,urn:uuid:2530c068-ddf7-4e78-befa-d0e2f28a0ae3,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7902150
7745491,NY,NY,,PreservedSpecimen,a0e12b4c-6f70-4a38-b093-06daa1cd6e83,3407569,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,D. G. Huttleston,,,s.n.,4/22/1977,1977,4,22,11,11,22-Apr-77,,,,,,,,,,,,,,,,,,,packeted,United States of America,Pennsylvania,Chester Co.,,"Greenwood Road near junction with U.S. Route 1 and entrance to Longwood Gardens, Kennett Square",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,a0e12b4c-6f70-4a38-b093-06daa1cd6e83,3,urn:uuid:82501e15-52de-4207-81d5-820c70d43a78,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745491
7745381,NY,NY,,PreservedSpecimen,046bc4e7-ebff-4634-8e04-d6fd2e4cfd5e,3407548,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,G. J. Samuels,,,s.n.,5/10/1971,1971,5,10,13,13,10-May-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Rockland Co.,,along roadise between US 9W and Piermont near entrance to Tallman Mt. State Park,,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,046bc4e7-ebff-4634-8e04-d6fd2e4cfd5e,3,urn:uuid:bb347ad4-0d29-4fcd-bba4-9581a2302261,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745381
